SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
798,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,19-04-2021 08:30,3.1,"",4000,""
799,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,01-05-2021 08:30,3.2,"",7000,""
800,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,19-05-2021 08:30,3.3,"",5000,""
801,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,01-06-2021 08:30,3.4,"",8000,""
802,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,18-06-2021 08:30,3.5,"",7000,""
803,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,01-07-2021 08:30,3.3,"",8000,""
804,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,15-07-2021 08:30,3,"",11000,""
805,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,01-08-2021 08:30,3.5,"",8000,""
806,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,18-08-2021 08:30,3.3,"",5000,""
807,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,01-09-2021 08:30,3.3,"",8000,""
808,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,15-09-2021 08:30,3.4,"",6800,""
809,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,04-10-2021 08:30,3.2,"",7000,""
810,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,18-10-2021 08:30,3,"",8000,""
811,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,10-11-2021 08:30,"","",6800,""
812,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,24-11-2021 08:30,4.1,"",7000,""
813,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,01-12-2021 08:30,3,"",7000,""
814,RIVER GANGA A/C GOMTI RIVER BHUSAULA,CPCB,9,Uttar Pradesh,179,SANT RAVIDAS NAGAR,GYANPUR,-,-,-,-,-,-,-,-,25.34510200,82.47982700,18-12-2021 08:30,2.7,"",8000,""
815,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,04-01-2021 08:30,2.2,"",1100,""
816,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,21-01-2021 08:30,2.4,"",910,""
817,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,18-02-2021 08:30,2.5,"",810,""
818,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,28-02-2021 08:30,2.5,"",780,""
819,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,07-03-2021 08:30,2.7,"",830,""
820,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,21-03-2021 08:30,2.4,"",910,""
821,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,08-04-2021 08:30,2.6,"",680,""
822,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,26-04-2021 08:30,2.8,"",790,""
823,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,10-05-2021 08:30,2.6,"",810,""
824,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,30-05-2021 08:30,2.5,"",790,""
825,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,13-06-2021 08:30,2.7,"",820,""
826,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,27-06-2021 08:30,2.8,"",830,""
827,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,15-07-2021 08:30,2.7,"",680,""
828,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,29-07-2021 08:30,2.6,"",630,""
829,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,15-08-2021 08:30,2.7,"",700,""
830,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,30-08-2021 08:30,2.7,"",680,""
831,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,13-09-2021 08:30,2.6,"",680,""
832,RIVER GANGA A/C TAMSA RIVER SIRSA SON BARSA,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.25936300,82.09647800,30-09-2021 08:30,2.8,"",920,""
